📊 CHUNK 267-70-70: Keyword=0.0244→1.000, Vector=0.000, Final=0.850
📊 CHUNK 267-71-71: Keyword=0.0230→0.897, Vector=0.000, Final=0.763
📊 CHUNK 267-0-0: Keyword=0.0221→0.840, Vector=0.000, Final=0.714
📊 CHUNK 267-44-44: Keyword=0.0217→0.808, Vector=0.000, Final=0.687
📊 CHUNK 267-68-68: Keyword=0.0203→0.716, Vector=0.000, Final=0.609
📊 CHUNK 267-28-28: Keyword=0.0194→0.648, Vector=0.000, Final=0.551
📊 CHUNK 267-63-63: Keyword=0.0193→0.646, Vector=0.000, Final=0.549
📊 CHUNK 267-7-7: Keyword=0.0191→0.629, Vector=0.000, Final=0.535
📊 CHUNK 267-27-27: Keyword=0.0189→0.614, Vector=0.000, Final=0.522
📊 CHUNK 267-67-67: Keyword=0.0186→0.596, Vector=0.000, Final=0.506
📊 CHUNK 267-39-39: Keyword=0.0186→0.594, Vector=0.000, Final=0.505
📊 CHUNK 267-50-50: Keyword=0.0180→0.552, Vector=0.000, Final=0.470
📊 CHUNK 267-60-60: Keyword=0.0175→0.518, Vector=0.000, Final=0.440
📊 CHUNK 267-22-22: Keyword=0.0174→0.510, Vector=0.000, Final=0.434
📊 CHUNK 267-17-17: Keyword=0.0173→0.505, Vector=0.000, Final=0.429
📊 CHUNK 267-42-42: Keyword=0.0173→0.505, Vector=0.000, Final=0.429
📊 CHUNK 267-61-61: Keyword=0.0169→0.476, Vector=0.000, Final=0.405
📊 CHUNK 267-52-52: Keyword=0.0168→0.472, Vector=0.000, Final=0.401
📊 CHUNK 267-46-46: Keyword=0.0168→0.471, Vector=0.000, Final=0.400
📊 CHUNK 267-3-3: Keyword=0.0167→0.466, Vector=0.000, Final=0.396
📊 CHUNK 267-43-43: Keyword=0.0166→0.456, Vector=0.000, Final=0.388
📊 CHUNK 267-32-32: Keyword=0.0164→0.444, Vector=0.000, Final=0.378
📊 CHUNK 267-29-29: Keyword=0.0163→0.438, Vector=0.000, Final=0.373
📊 CHUNK 267-62-62: Keyword=0.0163→0.437, Vector=0.000, Final=0.371
📊 CHUNK 267-66-66: Keyword=0.0162→0.431, Vector=0.000, Final=0.367
📊 CHUNK 267-30-30: Keyword=0.0160→0.418, Vector=0.000, Final=0.355
📊 CHUNK 267-59-59: Keyword=0.0160→0.414, Vector=0.000, Final=0.351
📊 CHUNK 267-4-4: Keyword=0.0156→0.387, Vector=0.000, Final=0.329
📊 CHUNK 267-57-57: Keyword=0.0156→0.386, Vector=0.000, Final=0.328
📊 CHUNK 267-69-69: Keyword=0.0156→0.385, Vector=0.000, Final=0.327
📊 CHUNK 267-11-11: Keyword=0.0155→0.378, Vector=0.000, Final=0.321
📊 CHUNK 267-26-26: Keyword=0.0154→0.371, Vector=0.000, Final=0.315
📊 CHUNK 267-58-58: Keyword=0.0154→0.370, Vector=0.000, Final=0.315
📊 CHUNK 267-35-35: Keyword=0.0153→0.368, Vector=0.000, Final=0.313
📊 CHUNK 267-19-19: Keyword=0.0153→0.366, Vector=0.000, Final=0.311
📊 CHUNK 267-9-9: Keyword=0.0153→0.366, Vector=0.000, Final=0.311
📊 CHUNK 267-18-18: Keyword=0.0151→0.353, Vector=0.000, Final=0.300
📊 CHUNK 267-64-64: Keyword=0.0150→0.343, Vector=0.000, Final=0.292
📊 CHUNK 267-23-23: Keyword=0.0149→0.338, Vector=0.000, Final=0.288
📊 CHUNK 267-31-31: Keyword=0.0149→0.337, Vector=0.000, Final=0.286
📊 CHUNK 267-8-8: Keyword=0.0148→0.334, Vector=0.000, Final=0.284
📊 CHUNK 267-10-10: Keyword=0.0148→0.333, Vector=0.000, Final=0.283
📊 CHUNK 267-48-48: Keyword=0.0144→0.303, Vector=0.000, Final=0.258
📊 CHUNK 267-47-47: Keyword=0.0143→0.293, Vector=0.000, Final=0.249
📊 CHUNK 267-49-49: Keyword=0.0142→0.288, Vector=0.000, Final=0.245
📊 CHUNK 267-20-20: Keyword=0.0140→0.278, Vector=0.000, Final=0.236
📊 CHUNK 267-5-5: Keyword=0.0140→0.277, Vector=0.000, Final=0.235
📊 CHUNK 267-51-51: Keyword=0.0139→0.272, Vector=0.000, Final=0.231
📊 CHUNK 267-54-54: Keyword=0.0138→0.259, Vector=0.000, Final=0.221
📊 CHUNK 267-65-65: Keyword=0.0137→0.254, Vector=0.000, Final=0.216
📊 CHUNK 267-13-13: Keyword=0.0136→0.245, Vector=0.000, Final=0.208
📊 CHUNK 267-14-14: Keyword=0.0134→0.234, Vector=0.000, Final=0.199
📊 CHUNK 267-2-2: Keyword=0.0132→0.223, Vector=0.000, Final=0.190
📊 CHUNK 267-72-72: Keyword=0.0131→0.212, Vector=0.000, Final=0.180
📊 CHUNK 267-40-40: Keyword=0.0131→0.211, Vector=0.000, Final=0.179
📊 CHUNK 267-38-38: Keyword=0.0130→0.208, Vector=0.000, Final=0.177
📊 CHUNK 267-1-1: Keyword=0.0126→0.181, Vector=0.000, Final=0.154
📊 CHUNK 267-53-53: Keyword=0.0122→0.152, Vector=0.000, Final=0.129
📊 CHUNK 267-15-15: Keyword=0.0122→0.149, Vector=0.000, Final=0.127
📊 CHUNK 267-45-45: Keyword=0.0120→0.135, Vector=0.000, Final=0.115
📊 CHUNK 267-41-41: Keyword=0.0118→0.120, Vector=0.000, Final=0.102
📊 CHUNK 267-33-33: Keyword=0.0117→0.115, Vector=0.000, Final=0.097
📊 CHUNK 267-21-21: Keyword=0.0117→0.113, Vector=0.000, Final=0.096
📊 CHUNK 267-6-6: Keyword=0.0115→0.103, Vector=0.000, Final=0.088
📊 CHUNK 267-25-25: Keyword=0.0113→0.087, Vector=0.000, Final=0.074
📊 CHUNK 267-55-55: Keyword=0.0102→0.010, Vector=0.000, Final=0.009
📊 CHUNK 267-34-34: Keyword=0.0100→0.000, Vector=0.000, Final=0.000
📊 CHUNK 267-1: Keyword=0.0000→0.000, Vector=0.325, Final=0.049
📊 CHUNK 267-49: Keyword=0.0000→0.000, Vector=0.323, Final=0.048
📊 CHUNK 267-64: Keyword=0.0000→0.000, Vector=0.312, Final=0.047
📊 CHUNK 267-4: Keyword=0.0000→0.000, Vector=0.312, Final=0.047
📊 CHUNK 267-69: Keyword=0.0000→0.000, Vector=0.311, Final=0.047
📊 CHUNK 267-48: Keyword=0.0000→0.000, Vector=0.308, Final=0.046
