no,branch_name_th,branch_name_en,floor,mall_th,mall_en,sub_category_th,sub_category_en,status,,,,,,,,,,,,,,,,,
49,????????? ?????????????????? ??????,SOUND CHECK The Mall Lifestore Thapra,4,?????????????????? ??????,The Mall Lifestore Thapra,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
56,????????? ?????????????????? ??????????,SOUND CHECK The Mall Lifestore Ngamwongwan,6,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
62,????????? ?????????????????? ???????,SOUND CHECK The Mall Lifestore Bangkapi,2,?????????????????? ???????,The Mall Lifestore Bangkapi,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
266,??????? ??????????? (??????) ?????????????????? ???????,BANGKAPI CINEPLEX (EGV) The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
272,????? ??????????? (??????) ????????? ?????,KORAT CINEPLEX ( EGV) The Mall Korat,3,????????? ?????,The Mall Korat,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
631,?????? ??????? ?????????????????? ??????????,FITNESS FIRST The Mall Lifestore Ngamwongwan,15,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
770,?????????????? ?????????????????? ??????,HARBORLAND The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
953,?????????????? ?????????????????? ???????,HARBORLAND The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
997,?????? ??????? ?????????????????? ??????,FITNESS FIRST The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1511,?????? ??????? ????????? ?????,FITNESS FIRST The Mall Korat,3,????????? ?????,The Mall Korat,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1640,?????????????? ?????????????????? ?????,HARBORLAND The Mall Lifestore Bangkae,3,?????????????????? ?????,The Mall Lifestore Bangkae,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1666,??? ??? ??????? ?????????????????? ??????,SF CINEMA The Mall Lifestore Thapra,4,?????????????????? ??????,The Mall Lifestore Thapra,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1738,??? ??? ??????? ?????????????????? ?????,SF CINEMA The Mall Lifestore Bangkae,3,?????????????????? ?????,The Mall Lifestore Bangkae,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1820,?????? ????  ?????????????????? ?????,VR BEAR The Mall Lifestore Bangkae,3,?????????????????? ?????,The Mall Lifestore Bangkae,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
1921,???????? ??????? ????????? ?????,WONDER PLANET The Mall Korat,3,????????? ?????,The Mall Korat,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
2116,??? ??? ??????? ?????????????????? ??????????,SF CINEMA The Mall Lifestore Ngamwongwan,,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
2117,?????? ??????? ?????????????????? ?????,FITNESS FIRST The Mall Lifestore Bangkae,3,?????????????????? ?????,The Mall Lifestore Bangkae,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
2167,?????? ??????? ?????????????????? ???????,FITNESS FIRST The Mall Lifestore Bangkapi,3,?????????????????? ???????,The Mall Lifestore Bangkapi,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
2219,?????????????? ?????????????????? ??????????,HARBORLAND The Mall Lifestore Ngamwongwan,6,?????????????????? ??????????,The Mall Lifestore Ngamwongwan,Attraction & Entertainment,Attraction & Entertainment,active,,,,,,,,,,,,,,,,,
57,???????????? ?????????????????? ?????,UOB The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
209,????????? ?????????????????? ?????,Umay+ The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
210,???????????????? ??????? ???????? (?????????) ????? ????????? ?????,DBS Vickers Securities The Mall Korat,9,????????? ?????,The Mall Korat,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
235,????????? ?????????????????? ??????,Umay+ The Mall Lifestore Thapra,3,?????????????????? ??????,The Mall Lifestore Thapra,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
519,???????????????? ?????????????????? ?????,Bangkok Insurance The Mall Lifestore Bangkae,2,?????????????????? ?????,The Mall Lifestore Bangkae,Bank & Insurance,Bank & Insurance,active,,,,,,,,,,,,,,,,,
